company,linkedin_url,company_id,http_status_or_error
OpenAI,https://www.linkedin.com/company/openai/,11130470,200
Anthropic,https://www.linkedin.com/company/anthropicresearch/,74126343,200
Cohere,https://www.linkedin.com/company/cohere-ai/,24024765,200
Perplexity,https://www.linkedin.com/company/perplexity-ai/,88007673,200
Google,https://www.linkedin.com/company/google/,,200
Microsoft,https://www.linkedin.com/company/microsoft/,,200
Amazon,https://www.linkedin.com/company/amazon/,,200
Meta,https://www.linkedin.com/company/meta/,,200
Apple,https://www.linkedin.com/company/apple/,162479,200
NVIDIA,https://www.linkedin.com/company/nvidia/,3608,200
Databricks,https://www.linkedin.com/company/databricks/,3477522,200
Snowflake,https://www.linkedin.com/company/snowflake-computing/,,200
ServiceNow,https://www.linkedin.com/company/servicenow/,,200
Salesforce,https://www.linkedin.com/company/salesforce/,,200
Oracle,https://www.linkedin.com/company/oracle/,,200
SAP,https://www.linkedin.com/company/sap/,,200
Adobe,https://www.linkedin.com/company/adobe/,,200
Atlassian,https://www.linkedin.com/company/atlassian/,22688,200
Stripe,https://www.linkedin.com/company/stripe/,2135371,200
Twilio,https://www.linkedin.com/company/twilio-inc-/,400528,200
GitLab,https://www.linkedin.com/company/gitlab-com/,,200
Cloudflare,https://www.linkedin.com/company/cloudflare/,407222,200
Figma,https://www.linkedin.com/company/figma/,3650502,200
Notion,https://www.linkedin.com/company/notionhq/,,200
Canva,https://www.linkedin.com/company/canva/,2850862,200
HubSpot,https://www.linkedin.com/company/hubspot/,68529,200
Intuit,https://www.linkedin.com/company/intuit/,1666,200
Cisco,https://www.linkedin.com/company/cisco/,,200
IBM,https://www.linkedin.com/company/ibm/,,200
Freshworks,https://www.linkedin.com/company/freshworks-inc/,1377014,200
Zoho,https://www.linkedin.com/company/zoho-corporation/,,404
Razorpay,https://www.linkedin.com/company/razorpay/,,200
PhonePe,https://www.linkedin.com/company/phonepe/,,404
Paytm,https://www.linkedin.com/company/paytm/,2340144,200
Postman,https://www.linkedin.com/company/postman-platform/,3795851,200
BrowserStack,https://www.linkedin.com/company/browserstack/,2553488,200
Flipkart,https://www.linkedin.com/company/flipkart/,321062,200
Meesho,https://www.linkedin.com/company/meesho/,10037698,200
CRED,https://www.linkedin.com/company/cred-club/,,404
Swiggy,https://www.linkedin.com/company/swiggy-in/,,200
Grab,https://www.linkedin.com/company/grabapp/,5382086,200
Sea,https://www.linkedin.com/company/sea-limited/,,404
Gojek,https://www.linkedin.com/company/gojek/,,200
Traveloka,https://www.linkedin.com/company/traveloka/,2778669,200
Nium,https://www.linkedin.com/company/nium/,14040744,200
HCLTech,https://www.linkedin.com/company/hcl-technologies/,,999
Infosys,https://www.linkedin.com/company/infosys/,1283,200
TCS,https://www.linkedin.com/company/tata-consultancy-services/,1353,200
Wipro,https://www.linkedin.com/company/wipro/,,200
Accenture,https://www.linkedin.com/company/accenture/,,200
